NC1=CC=C(NC(=O)C2=CC=C(N)C=C2)C=C1	DTXSID4020400
NC1=CC=C(O)C(N)=C1	DTXSID9020401
CC1=C(N)C=C(N)C=C1	DTXSID4020402
CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1	DTXSID4020406
CCOP(=S)(OCC)OC1=NC(=NC(C)=C1)C(C)C	DTXSID9020407
C1=CC2=CC=C3C=C4C(C=CC5=CC=CC=C45)=CC3=C2C=C1	DTXSID9020409
O1C2=CC=CC=C2OC2=C1C=CC=C2	DTXSID8020410
ClCC(Br)CBr	DTXSID3020413
BrCCBr	DTXSID3020415
CC(C)(NC(=O)C1=CC(Cl)=CC(Cl)=C1)C#C	DTXSID2020420
ClC1OCCOC1Cl	DTXSID7020421
OC(=O)C(Cl)=C(Cl)C=O	DTXSID7020423
CC(=C)C(=O)NC1=CC=C(Cl)C(Cl)=C1	DTXSID2020424
ClC1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O	DTXSID7020425
NC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O	DTXSID2020426
NC1=CC(Cl)=C(N)C(Cl)=C1	DTXSID7020427
OC(=O)C(Cl)Cl	DTXSID2020428
ClC1=C(Cl)C=CC=C1	DTXSID6020430
ClC1=CC=C(Cl)C=C1	DTXSID1020431
NC1=C(Cl)C=C(C=C1)C1=CC(Cl)=C(N)C=C1	DTXSID6020432
NC1=C(Cl)C=C(C=C1)C1=CC(Cl)=C(N)C=C1	DTXSID1020433
ClCC=CCCl	DTXSID6020434
CC(Cl)Cl	DTXSID1020437
ClCCCl	DTXSID6020438
OC1=C(Cl)C=C(Cl)C=C1	DTXSID1020439
CC(OC1=C(Cl)C=C(Cl)C=C1)C(O)=O	DTXSID0020440
CC(OC1=C(Cl)C=CC(Cl)=C1)C(O)=O	DTXSID5020441
OC(=O)COC1=C(Cl)C=C(Cl)C=C1	DTXSID0020442
CCCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1	DTXSID5020443
CC(C)OC(=O)COC1=C(Cl)C=C(Cl)C=C1	DTXSID5020445
CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1	DTXSID0020446
ClC1=CC(Cl)=C(OS(=O)(=O)C2=CC=CC=C2)C=C1	DTXSID5020447
CC(Cl)CCl	DTXSID0020448
COP(=O)(OC)OC=C(Cl)Cl	DTXSID5020449
OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl	DTXSID4020450
S=C(NC1CCCCC1)NC1CCCCC1	DTXSID9020451
C1C2OC2C2C3CC(C4OC34)C12	DTXSID4020452
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl	DTXSID9020453
CCOP(=S)(OCC)OC1=NC(Cl)=C(Cl)C=C1Cl	DTXSID4020458
CCN(CC)C(C)=O	DTXSID9020459
OCCOCCO	DTXSID8020462
CCN(CC)C=O	DTXSID3020463
CCOC(=O)C=CC(=O)OCC	DTXSID8020464
CCC(=C(CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1	DTXSID3020465
CCNC(=S)NCC	DTXSID8020466
O=CNNC=O	DTXSID8020468
O=C1N2CC3=C(C=CC=C3)C(=O)N2CC2=CC=CC=C12	DTXSID3020469
C(OC1=CC(OCC2CO2)=CC=C1)C1CO1	DTXSID2020470
O=C1CCC2=C(O1)C=CC=C2	DTXSID2020474
CC1(C)OC(=O)NC1=O	DTXSID2020478
CNC(=O)CSP(=S)(OC)OC	DTXSID7020479
CC1CC(OC(C)=O)OC(C)O1	DTXSID6020480
COC1=CC=C(N)C(OC)=C1	DTXSID1020483
COC1=C(C=CC(=C1)C1=CC(OC)=C(C=C1)N=C=O)N=C=O	DTXSID6020484
COC1=CC(=CC=C1N)C1=CC(OC)=C(N)C=C1	DTXSID1020485
CN(C)C1=CC=C(C=C1)N=NC1=CC=CC=C1	DTXSID5020491
COP(=O)OC	DTXSID5020493
COP(C)(=O)OC	DTXSID0020494
CN1C(C)=NC=C1[N+]([O-])=O	DTXSID5020497
